BR_TKN_BUBBLE_1,r0097:u,1409,1442,1390
BR_TKN_BUBBLE_2,r0098:u,2151,2131,2196
RS_UOPS_DISPATCHED,r00a0:u,1631893,1631752,1632549
RS_UOPS_DISPATCHED.PORT0,r01a1:u,166811,123458,111059
RS_UOPS_DISPATCHED.PORT1,r02a1:u,166961,119259,118240
RS_UOPS_DISPATCHED.PORT2,r04a1:u,557620,557659,557602
RS_UOPS_DISPATCHED.PORT3,r08a1:u,276827,276830,276856
RS_UOPS_DISPATCHED.PORT4,r10a1:u,276694,276702,276674
RS_UOPS_DISPATCHED.PORT5,r20a1:u,186698,280501,295518
MACRO_INSTS.DECODED,r01aa:u,1122161,1121488,1122715
MACRO_INSTS.CISC_DECODED,r08aa:u,262,261,269
ESP.SYNCH,r01ab:u,1175,1172,1173
ESP.ADDITIONS,r02ab:u,7319,7277,7297
SIMD_UOPS_EXEC,r00b0:u,40,40,40
SIMD_SAT_UOP_EXEC,r00b1:u,0,0,0
SIMD_UOP_TYPE_EXEC.MUL,r01b3:u,0,0,0
SIMD_UOP_TYPE_EXEC.SHIFT,r02b3:u,0,0,0
SIMD_UOP_TYPE_EXEC.PACK,r04b3:u,0,0,0
SIMD_UOP_TYPE_EXEC.UNPACK,r08b3:u,0,0,0
SIMD_UOP_TYPE_EXEC.LOGICAL,r10b3:u,32,34,35
SIMD_UOP_TYPE_EXEC.ARITHMETIC,r20b3:u,0,0,0
INST_RETIRED.ANY_P,r00c0:u,1073022,1073023,1073022
INST_RETIRED.LOADS,r01c0:u,547210,547211,547210
INST_RETIRED.STORES,r02c0:u,271560,271560,271560
INST_RETIRED.OTHER,r04c0:u,319998,319998,319998
X87_OPS_RETIRED.FXCH,r01c1:u,0,0,0
X87_OPS_RETIRED.ANY,rfec1:u,180,180,180
UOPS_RETIRED.LD_IND_BR,r01c2:u,138307,138307,138307
UOPS_RETIRED.STD_STA,r02c2:u,273791,273791,273791
UOPS_RETIRED.MACRO_FUSION,r04c2:u,0,0,0
UOPS_RETIRED.FUSED,r07c2:u,412098,412098,412098
UOPS_RETIRED.NON_FUSED,r08c2:u,779032,778968,779293
UOPS_RETIRED.ANY,r0fc2:u,1191130,1191066,1191391
MACHINE_NUKES.SMC,r01c3:u,0,0,0
MACHINE_NUKES.MEM_ORDER,r04c3:u,7,7,7
BR_INST_RETIRED.ANY,r00c4:u,83542,83543,83542
BR_INST_RETIRED.PRED_NOT_TAKEN,r01c4:u,9293,9283,9293
BR_INST_RETIRED.MISPRED_NOT_TAKEN,r02c4:u,625,625,620
BR_INST_RETIRED.PRED_TAKEN,r04c4:u,72992,72990,72994
BR_INST_RETIRED.MISPRED_TAKEN,r08c4:u,634,635,629
BR_INST_RETIRED.TAKEN,r0cc4:u,73626,73626,73626
BR_INST_RETIRED.MISPRED,r00c5:u,1257,1242,1253
CYCLES_INT_MASKED,r01c6:u,7257,7261,7306
CYCLES_INT_PENDING_AND_MASKED,r02c6:u,0,0,0
SIMD_INST_RETIRED.PACKED_SINGLE,r01c7:u,0,0,0
