Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
DELAYED_BYPASS.LOAD,r0219:u,-0.287402530787,-462,14,98,145,101,164,13,191,147,-192,2,-121,60,-28,141,-342,37,-403,239,125,62,167,-230,1,105,83,-102,126,-97,-1,151,303
L2_ADS.CORE,r4021:u,-0.192222193219,331743,341077,326290,324283,332982,340394,340861,332388,327687,343868,337456,331533,333677,340242,330517,332589,342390,332540,331659,336979,338494,332755,344087,336414,335786,340345,344259,332832,333098,342436,327102,332069
L2_DBUS_BUSY_RD.CORE,r4023:u,0.0105898622178,685182,681661,684258,654941,672244,682028,678562,681960,696055,684506,663038,673152,686674,685023,683942,683993,676691,675448,654804,689574,655561,684543,673544,666120,702144,702096,675426,666245,687914,685625,689031,691152
L2_LINES_IN.CORE,r4024:u,-0.168041232651,3117,3096,3130,3081,3137,3166,3109,3090,3082,3126,3080,3120,3180,3216,3105,3155,3140,3049,3122,3142,3148,3117,3124,3113,3151,3204,3111,3126,3132,3130,3092,3131
L2_LINES_IN.CORE.PREFETCH,r5024:u,-0.121641847444,127777,127986,128311,127283,128261,128641,128099,127872,127199,128408,127662,128388,128606,127792,128097,128507,128764,126987,128087,127784,127865,127381,127727,128157,128163,129039,128011,128213,127808,128012,128062,128366
L2_M_LINES_IN.CORE,r4025:u,-0.125414071074,65468,65431,65546,65512,65539,65536,65540,65480,65572,65517,65554,65501,65609,65479,65363,65544,65505,65479,65507,65797,65470,65505,65510,65421,65500,65536,65489,65365,65497,65465,65460,65477
L2_LINES_OUT.CORE,r4026:u,-0.0413388942487,3135,3149,3094,3070,3092,3094,3102,3175,3110,3095,3095,3124,3045,3250,3180,3091,3098,3167,3124,3117,3199,3143,3118,3176,3137,3104,3145,3180,3134,3113,3116,3095
L2_LINES_OUT.CORE.PREFETCH,r5026:u,0.17491756158,127808,128755,128217,128294,128450,127298,128826,127999,128150,128499,127679,128024,128160,128309,126510,128567,127132,127915,128047,127654,128007,126750,128651,126375,127928,127518,128188,126228,128243,128526,127947,128163
L2_M_LINES_OUT.CORE,r4027:u,-0.423486571288,1483,1452,1462,1482,1491,1479,1465,1511,1504,1460,1506,1512,1500,1545,1503,1486,1473,1501,1494,1497,1549,1530,1487,1525,1524,1510,1495,1524,1501,1485,1516,1473
L2_M_LINES_OUT.CORE.PREFETCH,r5027:u,0.0375126600671,58892,62893,61901,60374,60637,62583,62325,59960,57923,61898,59996,57943,62059,61444,59178,60660,62308,60870,58133,61997,60186,59319,62200,59366,59780,62402,62172,59372,61402,62495,59338,60798
L2_IFETCH.CORE.ALL,r4f28:u,0.0399098070279,38,-4,15,20,17,1,14,23,34,11,21,27,17,12,20,17,6,18,24,14,21,33,14,21,27,9,10,20,24,-6,24,22
L2_LD.CORE.ALL,r4f29:u,-0.371412981415,65677,65654,65668,65658,65666,65928,66171,65977,66053,66025,66181,66046,66080,66155,66084,66247,66102,66213,66111,66094,65673,65701,65722,65646,65665,65728,65806,65744,65685,65689,65719,65810
L2_LD.CORE.PREFETCH.ALL,r5f29:u,-0.603941642519,277102,256701,235818,278566,282661,280594,278857,280911,282863,276395,280174,282762,282560,275854,282839,282661,278143,279991,283691,278547,280851,282720,277102,280687,282729,278614,274882,281188,282159,279333,279876,283274
L2_ST.CORE.ALL,r4f2a:u,-0.0919408681471,65534,65532,65540,65544,65545,65552,65543,65533,65542,65531,65537,65534,65544,65536,65536,65544,65551,65536,65538,65811,65578,65538,65536,65537,65537,65544,65535,65539,65543,65536,65532,65538
L2_LOCK.CORE.ALL,r4f2b:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2_RQSTS.CORE.ALL,r4f2e:u,-0.358791606083,131221,131236,131213,131200,131192,131551,131702,131504,131631,131517,131768,131564,131654,131696,131633,131753,131682,131726,131686,131949,131231,131287,131215,131198,131167,131311,131341,131312,131277,131264,131272,131409
L2_RQSTS.CORE.PREFETCH.ALL,r5f2e:u,-0.560531635445,279018,259510,236584,279122,282724,283056,280960,279736,282996,279898,276430,280569,282943,280685,278656,282268,281824,274834,280205,281860,277446,283098,280503,276446,280027,282738,278995,279110,282818,281433,275915,282736
L2_RQSTS.SELF.DEMAND.I_STATE,r412e:u,-0.0277557944799,3129,3147,3058,3097,3048,3185,3157,3099,3138,3085,3095,3067,3166,3249,3096,3065,3158,3039,3112,3203,3125,3172,3100,3111,3068,3180,3091,3108,3078,3170,3093,3129
L2_RQSTS.SELF.DEMAND.MESI,r4f2e:u,-0.358791606083,131221,131236,131213,131200,131192,131551,131702,131504,131631,131517,131768,131564,131654,131696,131633,131753,131682,131726,131686,131949,131231,131287,131215,131198,131167,131311,131341,131312,131277,131264,131272,131409
L2_REJECT_BUSQ.CORE.ALL,r4f30:u,-0.416999944889,1641,1876,2102,2193,3139,2786,2822,3089,3169,3130,2824,2319,2094,1851,2223,2175,2132,2189,2225,3586,4198,4194,4198,4404,4338,4508,4492,3516,3013,2513,2331,2219
L2_REJECT_BUSQ.CORE.PREFETCH.ALL,r5f30:u,0.518220407293,28023,52094,75812,30536,30813,29537,27264,33320,30580,28301,28373,23051,25380,27496,33678,30827,28117,31191,31782,29287,32283,31608,29985,33060,32375,29054,23189,25955,27414,28774,32702,31028
L2_NO_REQ.CORE,r4032:u,0.996245054033,27148835,24019184,20833219,18598662,13632851,13028989,12838871,12835771,12905323,12847724,12852757,12885821,12877303,12874973,12865448,12854117,12833806,12878237,13356396,13960639,13618396,13048354,12829112,12804837,12898794,12882995,12819086,12881787,12886640,12846802,12864921,12858445
EIST_TRANS,r003a:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THERMAL_TRIP,rc03b:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPU_CLK_UNHALTED.CORE_P,cycles:u,1.0,30565056,27404954,24245363,21165379,16390250,16369115,16364013,16342312,16373314,16350857,16341001,16389717,16390678,16365133,16360952,16374890,16370913,16362750,16376938,16385741,16399582,16380761,16370219,16327661,16380305,16374114,16344154,16386809,16381469,16372560,16358408,16361809
CPU_CLK_UNHALTED.BUS,r013c:u,0.9999950738,10184264,9133331,8087856,7042114,5460576,5455945,5457181,5442235,5453492,5453263,5452636,5462656,5463792,5457543,5450392,5458219,5456299,5456862,5456814,5460981,5467792,5459518,5458807,5446587,5457141,5455788,5451092,5461345,5459162,5458487,5452708,5450049
CPU_CLK_UNHALTED.NO_OTHER,r023c:u,0.786703880325,8472208,8960448,6772362,6929979,5400672,5346760,3735139,5132922,5615696,3780963,3677159,5152189,6471931,4182942,5807780,5367734,5139369,3832570,5353632,5724949,4050606,5379718,3952669,4420156,5373691,6176016,4136708,5752972,5198157,4454329,4433052,5389637
L1D_CACHE_LD.ALL,r0f40:u,0.922611990336,12593923,13641610,12891301,12707946,10505602,10496535,10496802,10496519,10496710,10496770,10496460,10496895,10496133,10496655,10495968,10496744,10496876,10496185,10496814,10496888,10496521,10496044,10496549,10495883,10496806,10496210,10496631,10495973,10496579,10496075,10496514,10496901
L1D_CACHE_ST.ALL,r0f41:u,nan,1048574,1048574,1048574,1048574,1048574,1048574,1048574,1048574,1048574,1048574,1048574,1048574,1048574,1048574,1048574,1048574,1048574,1048574,1048574,1048574,1048574,1048574,1048574,1048574,1048574,1048574,1048574,1048574,1048574,1048574,1048574,1048574
L1D_CACHE_LOCK.ALL,r0f42:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1D_CACHE_LOCK_DURATION,r1042:u,0.179257113541,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,-3,0,-1,0,-1,0,0,-1,0,-2,0,0,0,-2,0,0,0,0
L1D_ALL_REF,r0143:u,0.922607500263,13642655,14689745,13937923,13757680,11552870,11544747,11544956,11544276,11545091,11544967,11545060,11544553,11544935,11545103,11545059,11544880,11545674,11544594,11544421,11545067,11544584,11544975,11545367,11544875,11544852,11545268,11545276,11544783,11544662,11544933,11545180,11545129
L1D_ALL_CACHE_REF,r0243:u,0.922607649138,13642655,14689740,13937915,13757680,11552870,11544747,11544956,11544276,11545091,11544967,11545060,11544553,11544935,11545103,11545059,11544880,11545674,11544594,11544421,11545067,11544584,11544975,11545367,11544875,11544852,11545268,11545276,11544783,11544662,11544933,11545180,11545129
L1D_REPL,r0f45:u,-0.386143133264,131185,131211,131172,131170,131248,131450,131695,131547,131623,131452,131682,131580,131597,131657,131630,131784,131635,131740,131686,131902,131275,131269,131174,131200,131240,131238,131297,131308,131247,131201,131274,131365
L1D_M_REPL,r0046:u,-0.0772663645963,65535,65546,65530,65536,65543,65549,65536,65540,65547,65533,65534,65533,65537,65535,65537,65537,65539,65535,65542,65815,65588,65544,65527,65537,65544,65538,65534,65539,65535,65542,65536,65540
L1D_M_EVICT,r0047:u,-0.10816405902,65488,65515,65524,65527,65632,65555,65487,65529,65526,65532,65497,65541,65541,65519,65516,65572,65435,65524,65502,65723,65491,65490,65480,65464,65629,65499,65505,65516,65581,65465,65490,65515
L1D_PEND_MISS,r0048:u,0.584027857509,138472,656081,490763,3693,131470,126869,136314,133523,138070,138992,141754,137185,137363,140717,136965,136563,138560,139512,136081,144179,156151,143832,134905,144211,134896,132981,137253,134352,131698,137635,135942,133776
L1D_SPLIT.LOADS,r0149:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1D_SPLIT.STORES,r0249:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSE_PRE_MISS.NTA,r004b:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
