Performance counter,Mnemonic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
LOAD_BLOCK.STA,r0203:u,1408,1448,1394,1577,1353,1540,1514,1399,1445,1455,1574,1254,1331,1666,1518,1420,1540,1399,1346,1363,1669,1393,1517,1416,1346,1402,1540,1544,1431,1512,1827,1279
LOAD_BLOCK.STD,r0403:u,254647,250818,249679,258445,260023,267801,257223,258141,254195,253455,252087,249958,270388,267545,253519,260222,261134,260716,249807,254206,265025,258297,255649,253459,254338,257048,256137,254827,249773,255074,263894,256842
LOAD_BLOCK.OVERLAP_STORE,r0803:u,23195332,34728151,23289032,23209360,210729,116502,118232,117475,117912,117901,116846,116116,115494,116835,115855,115309,116502,114692,115912,116186,116161,115633,115317,113584,116604,116580,114770,114416,115077,116273,116287,117568
LOAD_BLOCK.UNTIL_RETIRE,r1003:u,151,199,136,116,73,64,61,66,53,62,59,63,59,62,60,67,63,57,61,53,52,59,61,61,67,57,72,64,57,61,61,62
LOAD_BLOCK.L1D,r2003:u,17562,684270,11940,220969,310173,276866,300492,307158,259988,274030,289489,297035,345867,288281,308220,273144,305590,253866,325741,376049,266206,230039,307419,310021,286642,253384,293132,283222,314461,275267,304833,284438
SB_DRAIN_CYCLES,r0104:u,332,356,292,369,308,268,287,364,360,292,387,327,278,351,414,282,334,386,307,302,421,324,291,415,305,296,324,387,293,298,369,310
STORE_BLOCK.ORDER,r0204:u,330362,327956,344387,331968,357475,361860,358345,345326,351266,363439,341104,347452,355378,347725,346494,355693,370647,346908,361890,370247,346596,359174,363386,340776,348155,354538,346169,341845,351827,355398,355592,349332
STORE_BLOCK.SNOOP,r0804:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEGMENT_REG_LOADS,r0006:u,6491,6391,6290,6323,6019,5950,6003,6116,6081,5933,6119,6167,5976,5948,6145,5975,5981,6080,6077,5944,6095,6109,5944,6061,6151,6006,5928,6155,5949,5943,6111,6043
SSE_PRE_EXEC.NTA,r0007:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSE_PRE_EXEC.L1,r0107:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSE_PRE_EXEC.L2,r0207:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSE_PRE_EXEC.STORES,r0307:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_MISSES.ANY,r0108:u,8946,8905,8874,8873,8624,8592,8565,8594,8629,8578,8596,8613,8599,8558,8624,8603,8542,8566,8610,8562,8580,8628,8572,8547,8604,8566,8564,8606,8603,8577,8625,8628
DTLB_MISSES.MISS_LD,r0208:u,5934,5992,5911,5877,5793,5801,5817,5839,5786,5811,5855,5802,5816,5817,5792,5774,5820,5854,5800,5784,5839,5816,5818,5817,5799,5788,5830,5835,5797,5815,5825,5823
DTLB_MISSES.L0_MISS_LD,r0408:u,12185,10846,12455,14638,15395,14965,15117,15014,14996,15234,15190,14854,15539,15156,14737,14881,15054,15252,14840,14977,15232,15032,15029,15201,14942,14949,15244,15132,14976,14954,14707,15128
DTLB_MISSES.MISS_ST,r0808:u,2963,2948,2948,2932,2781,2781,2778,2772,2785,2777,2771,2768,2777,2784,2766,2790,2786,2771,2781,2790,2773,2790,2775,2773,2772,2790,2770,2771,2781,2770,2772,2784
MEMORY_DISAMBIGUATION.RESET,r0109:u,8,8,10,8,8,8,9,6,8,8,7,8,9,8,7,8,7,8,8,9,8,9,8,8,8,10,7,8,8,9,8,8
MEMORY_DISAMBIGUATION.SUCCESS,r0209:u,553673,562971,558918,564528,563411,561234,561107,563701,559241,564364,563653,563173,560786,561030,558564,561079,561934,560240,563153,561693,563172,560738,564308,550156,563803,564694,558408,563030,560426,558511,562996,557291
PAGE_WALKS.COUNT,r010c:u,8516,8459,8478,8409,8212,8189,8165,8313,8241,8184,8235,8264,8174,8182,8249,8160,8183,8280,8184,8172,8245,8230,8158,8256,8239,8174,8148,8267,8224,8163,8265,8184
PAGE_WALKS.CYCLES,r020c:u,86643,93231,89554,94915,84071,99512,100449,82393,86259,96834,89090,82437,97170,97894,83668,92342,100284,83448,85176,98592,91794,86526,99431,84125,82289,96327,99055,84498,90051,101834,83974,85416
FP_COMP_OPS_EXE,r0010:u,116395163,116396484,116397028,116395744,116393864,116393538,116393650,116393844,116393904,116393732,116393579,116393804,116393526,116393526,116393664,116393536,116393445,116393779,116393988,116393733,116393486,116393882,116393710,116393741,116393579,116393578,116393592,116393895,116393737,116393465,116393791,116393814
FP_ASSIST,r0011:u,40,53,45,40,50,36,36,28,53,42,31,46,57,27,32,45,31,28,40,41,31,44,51,28,47,59,32,29,61,42,27,39
MUL,r0012:u,57674264,57674287,57674369,57673698,57672782,57672828,57672804,57673138,57672672,57672867,57673066,57672810,57672717,57672935,57672832,57672675,57672783,57673011,57672994,57672832,57673014,57672794,57672906,57673017,57672737,57672775,57673039,57672977,57672754,57672785,57672998,57672700
DIV,r0013:u,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,103
CYCLES_DIV_BUSY,r0014:u,1118,1118,1120,1120,1121,1118,1123,1120,1120,1120,1120,1120,1120,1123,1122,1123,1120,1121,1120,1118,1120,1121,1122,1121,1118,1122,1117,1122,1120,1125,1121,1120
IDLE_DURING_DIV,r0018:u,155,158,157,157,156,155,156,157,158,156,166,155,156,155,153,156,159,157,154,148,157,159,158,156,156,174,156,153,158,159,145,158
DELAYED_BYPASS.FP,r0019:u,59756961,59757440,59747609,59663640,52407871,52683458,52742088,52644000,52433512,52625035,52563482,52637476,52495061,52635499,52601651,52533669,52623498,52405074,52536329,52543865,52519434,52642410,52704527,52577271,52490920,52562669,52566391,52667729,52567605,52600489,52596307,52626955
DELAYED_BYPASS.SIMD,r0119:u,46,49,46,46,46,46,46,45,45,48,48,47,45,47,49,50,48,43,45,46,44,48,48,46,49,46,48,41,50,44,45,49
DELAYED_BYPASS.LOAD,r0219:u,11083,11192,12196,12567,15481,12759,11335,13145,13092,11158,11143,12360,12006,11167,12556,12445,12180,11316,13897,12322,11715,13333,11061,11142,13669,12246,11548,12401,14659,11126,12696,14167
L2_ADS.CORE,r4021:u,3796259,3878133,3775246,3769169,3792341,3872148,3909190,3791919,3799835,3906287,3849064,3782916,3803510,3866193,3772372,3790855,3892155,3799551,3784791,3889447,3852393,3813303,3907704,3832129,3821473,3872253,3906535,3795529,3798050,3891272,3770387,3786491
