Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
LOAD_BLOCK.STA,r0203:u,-0.301008232473,-1,3,-29,56,8,-2,7,22,7,16,3,33,123,45,18,20,67,54,43,107,67,-10,-67,85,85,22,17,7,105,3,28,93
LOAD_BLOCK.STD,r0403:u,-0.145654672968,-105,-467,-153,-26,-147,-645,777,203,77,-299,-535,-1475,1133,-161,849,599,-239,-40,801,554,751,-414,-1699,859,-5,418,381,-32,-522,-58,422,617
LOAD_BLOCK.OVERLAP_STORE,r0803:u,0.947343510185,3161163,3162092,3161732,2113376,27711,15701,15356,15357,15365,15366,15363,15359,15360,15360,15369,15362,15350,15345,15369,15362,15361,15364,15364,15356,15359,15367,15370,15361,15352,15365,15366,15364
LOAD_BLOCK.UNTIL_RETIRE,r1003:u,0.935668382401,10,9,9,5,0,0,0,-2,0,1,-1,0,-2,0,-1,-1,-1,0,0,-1,-2,-1,1,-1,1,0,-1,-1,-1,-1,0,0
LOAD_BLOCK.L1D,r2003:u,-0.219406405241,288,1317,515,87720,73328,3838,7733,10856,7984,10771,11809,10757,9159,21117,2437,124862,78216,131333,65759,39679,71387,4622,1909,7412,12361,12231,3574,7948,11315,12265,3397,123032
SB_DRAIN_CYCLES,r0104:u,-0.0119871231869,17,15,24,5,20,12,12,13,18,11,19,21,7,34,12,14,32,17,14,25,35,18,13,19,20,21,11,24,25,11,14,27
STORE_BLOCK.ORDER,r0204:u,-0.205697885105,224,413,1356,22299,62938,5772,4015,2115,4139,9724,5083,2385,526,3785,5375,60828,14137,71281,58404,3561,61845,4362,6268,1639,464,3851,5607,2639,1742,7360,7329,62693
STORE_BLOCK.SNOOP,r0804:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEGMENT_REG_LOADS,r0006:u,0.954937818699,152,130,142,61,51,53,69,63,47,48,50,65,65,57,50,53,61,65,46,48,70,53,51,51,69,60,55,51,64,49,45,49
SSE_PRE_EXEC.NTA,r0007:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
