Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
DELAYED_BYPASS.SIMD,r0119:u,0.256544535819,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,0,0,-1,0,-1,0,0,0,0,-1
DELAYED_BYPASS.LOAD,r0219:u,-0.688450945595,-159,98,-111,-32,1079,3724,1942,22534,13654,54333,132765,22426,60223,70405,87422,69398,149997,152151,141363,68248,143473,113366,124992,67763,134817,27536,136645,47035,67587,70297,85300,69215
L2_ADS.CORE,r4021:u,0.0324391336135,339752,327041,333884,336077,337391,334120,326345,327908,329978,328105,331307,341955,330798,333245,336355,331313,330927,342240,331386,340415,337361,334595,331150,340054,337463,339592,331020,329925,341578,335766,338612,332655
L2_DBUS_BUSY_RD.CORE,r4023:u,0.444899344607,623772,680767,673480,699402,690353,694730,661010,681394,663469,690088,652899,663436,639392,669420,661535,675959,627314,656486,652933,660607,626196,697662,637560,667181,639221,675627,655341,660599,621254,658796,637662,691584
L2_LINES_IN.CORE,r4024:u,0.514830965916,3160,3231,3159,3247,3068,3185,3100,3089,3099,3103,3099,3148,3133,3180,3174,3112,3097,3137,3115,3118,3127,3147,3114,3152,3171,3141,3173,3171,3134,3095,3177,3129
L2_LINES_IN.CORE.PREFETCH,r5024:u,-0.147837961866,128389,127473,128250,128510,127325,127884,127943,127938,128088,128074,127864,128302,128209,128130,128570,128000,127852,128404,127964,127783,127742,128091,128014,128359,128254,128005,128531,128359,128339,127931,128642,128242
L2_M_LINES_IN.CORE,r4025:u,0.0283109861491,65536,65511,65506,65439,65499,65464,65514,65479,65452,65499,65506,65550,65541,65570,65489,65543,65466,65521,65439,65475,65499,65346,65449,65500,65503,65481,65477,65506,65517,65509,65525,65433
L2_LINES_OUT.CORE,r4026:u,0.299972682528,3116,3219,3120,3219,3120,3177,3097,3216,3161,3157,3125,3057,3111,3070,3149,3136,3146,3130,3169,3187,3114,3220,3187,3102,3098,3104,3131,3145,3088,3108,3100,3233
L2_LINES_OUT.CORE.PREFETCH,r5026:u,-0.117967221878,128593,128190,128107,126835,128436,128476,128332,127949,128341,127927,128571,128830,128049,128202,127768,128303,128316,128231,128329,128293,127932,127822,127778,128155,128142,128205,127957,128262,128279,128590,128174,127885
L2_M_LINES_OUT.CORE,r4027:u,-0.303894431371,1488,1517,1497,1497,1512,1514,1510,1512,1486,1517,1497,1488,1515,1509,1523,1524,1500,1491,1507,1517,1524,1530,1530,1501,1524,1490,1531,1508,1528,1483,1532,1524
L2_M_LINES_OUT.CORE.PREFETCH,r5027:u,-0.341402880579,59564,59919,59005,62381,59741,59173,62599,59947,62700,62818,61200,62716,63291,58121,63310,62399,62749,62270,61801,62339,59893,59257,62723,62195,59576,62374,62515,58270,60047,63125,60329,59414
L2_IFETCH.CORE.ALL,r4f28:u,0.684553779243,52,57,51,34,41,26,17,37,17,20,22,9,7,37,8,4,16,6,15,18,28,35,16,23,26,16,12,41,31,1,22,30
L2_LD.CORE.ALL,r4f29:u,0.675824591038,65665,65661,65641,65662,65634,65635,65622,65621,65609,65642,65593,65644,65637,65633,65640,65640,65603,65627,65624,65642,65638,65631,65631,65649,65621,65622,65638,65630,65631,65629,65624,65638
L2_LD.CORE.PREFETCH.ALL,r5f29:u,0.630240163222,279306,282487,282610,277891,282326,283351,279452,280788,261031,274210,211272,277579,242366,281356,205745,261894,200205,261274,195980,273482,239786,277122,206103,278271,206821,278969,204549,282310,231372,278508,202580,280258
L2_ST.CORE.ALL,r4f2a:u,0.0581679476174,65525,65545,65539,65539,65540,65540,65541,65539,65544,65542,65535,65539,65533,65546,65530,65541,65538,65546,65539,65541,65537,65537,65541,65535,65537,65538,65537,65533,65534,65528,65535,65537
L2_LOCK.CORE.ALL,r4f2b:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2_RQSTS.CORE.ALL,r4f2e:u,0.753002319372,131259,131234,131233,131255,131238,131245,131175,131183,131171,131212,131200,131247,131170,131196,131173,131233,131169,131206,131167,131230,131217,131180,131173,131217,131197,131230,131162,131189,131192,131209,131164,131176
L2_RQSTS.CORE.PREFETCH.ALL,r5f2e:u,0.6031612522,280047,278673,277424,280596,283357,279661,279213,275601,261061,280250,209875,281937,255465,280034,206166,265102,199900,269133,202849,278008,246094,271165,207473,279011,204994,281647,204160,280166,223952,281322,199780,277283
L2_RQSTS.SELF.DEMAND.I_STATE,r412e:u,0.339345764265,3170,3244,3136,3142,3175,3140,3107,3096,3104,3170,3151,3236,3095,3108,3112,3202,3098,3163,3101,3274,3220,3105,3105,3162,3167,3207,3099,3096,3138,3174,3110,3119
L2_RQSTS.SELF.DEMAND.MESI,r4f2e:u,0.753002319372,131259,131234,131233,131255,131238,131245,131175,131183,131171,131212,131200,131247,131170,131196,131173,131233,131169,131206,131167,131230,131217,131180,131173,131217,131197,131230,131162,131189,131192,131209,131164,131176
L2_REJECT_BUSQ.CORE.ALL,r4f30:u,-0.321588312916,1517,34,1651,23,2345,24,1701,134,281,125,3031,1416,1871,1438,4211,2433,1141,2435,1111,3610,1869,4710,1105,992,1068,1074,1293,408,2084,606,2021,2162
L2_REJECT_BUSQ.CORE.PREFETCH.ALL,r5f30:u,-0.564635809541,30827,30161,30236,31879,25955,27150,33173,27821,35278,28999,77238,28182,43144,28722,87274,33424,83838,42196,84367,28258,46593,31480,81252,27816,83463,28747,88134,30362,62967,27075,92042,25204
L2_NO_REQ.CORE,r4032:u,0.998105905316,28754678,32374203,25625991,28852152,17606588,21222724,7356561,12607616,6280197,10666490,5135371,12397165,5903693,9987159,5015146,11473288,6835349,11081768,6482671,12435734,5893285,12173755,5635939,13331396,5013366,11005520,5135027,12480978,5872235,10030505,4995032,11493359
EIST_TRANS,r003a:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THERMAL_TRIP,rc03b:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPU_CLK_UNHALTED.CORE_P,cycles:u,1.0,31046241,35649481,29011314,32115943,20879306,24602164,10794093,15832159,9660147,13930733,8617534,15799105,9450727,13352154,8447373,13841323,9199732,13571015,8803757,14786837,9296092,14447887,8568727,16505870,8605903,14440266,8569174,15725001,9516748,13446244,8436988,13767004
CPU_CLK_UNHALTED.BUS,r013c:u,0.9999419609,10320087,11904790,9665376,10700545,6983299,8159942,3634948,5321249,3224587,4612366,2859048,5277788,3157318,4493037,2815790,4592860,3028786,4525842,2914773,4912182,3114613,4866001,2861713,5558016,2926504,4779746,2856597,5256196,3165307,4473555,2836661,4591216
CPU_CLK_UNHALTED.NO_OTHER,r023c:u,0.943780731971,9886625,9498033,8324597,10042722,5033929,8954541,2583080,3594021,3153171,5536148,2456819,6185071,3330361,2826985,2790124,5305796,3005040,4069015,2869616,4829454,1992377,3629320,2795681,3983999,1402474,4750613,2824290,5107507,2543307,3848442,1797747,4504608
L1D_CACHE_LD.ALL,r0f40:u,0.862189559247,5325860,5584254,5575820,5623890,5252727,5292880,4531341,4698855,3678680,3911786,3016768,3238785,2994201,3217211,2950077,3065916,2971774,3035524,2975018,3044481,2985810,3014417,2962627,3081408,2993296,3055572,2960903,3168659,2999025,3213498,2951384,3060565
L1D_CACHE_ST.ALL,r0f41:u,0.347601924417,3145719,3538935,3145719,3538935,3145719,3538935,3145719,3538935,3145719,3538935,3145719,3538929,3145719,3538929,3145719,3538935,3145719,3538935,3145719,3538935,3145719,3538935,3145719,3538935,3145719,3538935,3145719,3538929,3145719,3538929,3145719,3538935
L1D_CACHE_LOCK.ALL,r0f42:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1D_CACHE_LOCK_DURATION,r1042:u,0.181238495146,0,0,-1,1,0,-1,-1,-1,0,0,0,-1,0,-1,-1,0,0,-1,0,1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0
L1D_ALL_REF,r0143:u,0.901822976435,8473764,9123773,8713291,9154868,8398843,8832984,7678716,8240881,6822360,7445758,6169346,6775161,6147250,6767976,6094149,6610262,6117969,6572516,6123625,6584282,6125624,6560530,6099687,6627431,6141000,6589687,6108110,6702507,6132016,6749997,6098315,6606947
L1D_ALL_CACHE_REF,r0243:u,0.901822902223,8473764,9123774,8713295,9154870,8398847,8832990,7678716,8240878,6822355,7445759,6169346,6775160,6147250,6767978,6094147,6610261,6117967,6572512,6123621,6584279,6125624,6560532,6099685,6627425,6141003,6589680,6108110,6702506,6132016,6749997,6098313,6606950
L1D_REPL,r0f45:u,0.729701037609,131188,131195,131198,131205,131189,131190,131180,131150,131162,131193,131162,131167,131168,131160,131142,131172,131141,131165,131158,131178,131163,131137,131156,131168,131155,131161,131156,131181,131152,131156,131174,131147
L1D_M_REPL,r0046:u,0.437550209488,65544,65543,65537,65544,65543,65547,65546,65534,65540,65547,65536,65536,65537,65538,65531,65541,65532,65540,65538,65542,65540,65529,65539,65541,65532,65531,65535,65543,65537,65535,65539,65532
L1D_M_EVICT,r0047:u,0.134671845855,65580,65488,65471,65570,65567,65527,65520,65471,65566,65528,65582,65525,65484,65537,65506,65551,65516,65457,65519,65600,65515,65498,65451,65371,65527,65507,65432,65495,65536,65463,65478,65509
L1D_PEND_MISS,r0048:u,-0.288823101688,666534,663994,663871,661526,657634,659347,672285,685167,689994,682616,680197,680897,686210,679609,697576,827490,685384,782468,682298,790252,689065,793684,712098,687416,688730,736567,731524,681451,683858,697883,693705,758327
L1D_SPLIT.LOADS,r0149:u,nan,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072
L1D_SPLIT.STORES,r0249:u,0.34760169971,0,393216,-1,393216,0,393216,0,393215,0,393216,0,393210,0,393209,0,393216,0,393216,0,393216,0,393216,0,393216,0,393216,0,393210,0,393210,0,393216
SSE_PRE_MISS.NTA,r004b:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSE_PRE_MISS.L1,r014b:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSE_PRE_MISS.L2,r024b:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOAD_HIT_PRE,r004c:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1D_PREFETCH.REQUESTS,r104e:u,0.443914548156,64515,64513,64514,64514,64514,64512,64510,64512,64497,64511,64506,64511,64508,64512,64423,64509,64473,64513,64478,64511,64505,64514,64458,64513,64478,64512,64447,64511,64504,64512,64500,64441
L1I_READS,r0080:u,0.997871638263,30765790,34410499,28769990,30893240,20664908,23381479,10570905,14547679,9522867,12752358,8321742,14571639,9220734,12236023,8370143,12610952,8917570,12280107,8539343,13678722,8982932,13227578,8457055,15248400,8460777,13129209,8443387,14444827,9219373,12140623,8226829,12629381
L1I_MISSES,r0081:u,0.74258762032,20,28,24,25,22,8,6,20,5,8,8,9,0,9,9,10,8,12,15,8,0,8,10,18,7,22,9,14,15,12,6,7
ITLB.SMALL_MISS,r0282:u,0.0921649913565,0,1,0,0,1,-2,-1,1,0,-1,0,-1,-1,0,0,0,0,0,2,0,-1,0,0,1,-1,1,-1,0,1,1,0,0
ITLB.LARGE_MISS,r1082:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITLB.FLUSH,r4082:u,-0.264182175472,-1,0,-1,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
ITLB.MISSES,r1282:u,0.0871919524648,1,1,0,0,1,-1,0,0,1,1,0,0,1,0,-3,1,0,-1,0,1,0,0,0,-1,1,0,0,0,0,0,2,1
INST_QUEUE.FULL,r0283:u,0.997386867003,27875077,31432918,25836713,27815466,17789302,20236172,7646519,11650433,6636903,9830096,5400228,11485153,6320339,9114143,5286410,9556749,5876330,9334198,5608757,10512786,6052643,10180545,5443097,12275331,5568317,10151552,5433914,11376420,6281501,9079116,5380732,9509704
CYCLES_L1I_MEM_STALLED,r0086:u,0.344447958009,223420,1215858,225863,1267143,220203,1217958,218768,1269263,218113,1212409,219583,1264412,218505,1211778,221245,1262631,295723,1214138,221670,1272249,278695,1224110,224432,1277268,220496,1217255,221207,1263657,219387,1206015,219949,1261275
ILD_STALL,r0087:u,-0.484237861595,0,-1,-1,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1
BR_INST_EXEC,r0088:u,0.339007152588,264209,269336,264211,268308,264155,268317,263271,268301,263240,268322,263268,269890,263220,269969,263233,271373,263188,271375,263201,269327,263186,269325,263203,269092,263277,268310,263231,269332,263178,269334,263226,271373
BR_MISSP_EXEC,r0089:u,0.252442123596,8,11,10,8,1,14,13,7,6,11,1,13,6,10,-1,5,-3,13,8,-2,12,5,9,4,4,7,6,6,10,12,7,7
BR_BAC_MISSP_EXEC,r008a:u,0.3457270049,-19,2034,9,2047,1,2055,-7,2074,-20,2070,-5,2060,32,2058,-1,2055,-4,2052,-7,2060,-1,2018,2,2061,-32,2074,-11,2056,-20,2045,8,2044
BR_CND_EXEC,r008b:u,0.339383486158,264207,269334,264209,268309,264144,268306,263196,268309,263263,268341,263284,269853,263214,269926,263242,271374,263200,271370,263182,269323,263177,269318,263198,269032,263242,268324,263222,269329,263185,269323,263224,271372
BR_CND_MISSP_EXEC,r008c:u,0.288564221064,8,10,9,17,6,6,5,7,13,5,6,14,9,1,4,3,0,10,3,2,1,13,6,6,17,5,7,6,4,7,12,4
BR_IND_EXEC,r008d:u,-0.321310613167,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,0
BR_IND_MISSP_EXEC,r008e:u,0.183156513602,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0
BR_RET_EXEC,r008f:u,0.148200215522,1,1,1,0,0,1,1,1,1,1,0,1,0,0,2,0,0,1,1,1,0,0,2,1,0,0,0,1,-1,1,0,0
BR_RET_MISSP_EXEC,r0090:u,-0.0174512362459,1,1,1,0,1,0,0,1,1,0,2,-1,1,1,1,2,1,0,1,0,1,0,-1,0,0,1,1,0,1,0,0,1
BR_RET_BAC_MISSP_EXEC,r0091:u,0.224475941386,1,15,1,0,25,-1,-24,11,9,8,20,-26,0,11,0,15,-1,2,-15,0,-20,1,-56,3,-2,7,-8,-11,21,3,1,12
BR_CALL_EXEC,r0092:u,0.248152208486,1,1,1,1,0,2,1,1,1,-1,1,1,2,0,1,-1,1,2,1,1,0,1,0,1,1,0,-1,1,0,1,-1,0
BR_CALL_MISSP_EXEC,r0093:u,0.297075909191,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,0,-1,0,-1,0,0,0,-1,0
BR_IND_CALL_EXEC,r0094:u,-0.108668813703,-1,0,-1,-1,0,-1,-1,0,0,0,0,-1,0,0,-1,-1,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,0,0,0,-1
BR_TKN_BUBBLE_1,r0097:u,0.378152162231,213,11279,182,8823,258,10231,116,9163,155,12677,145,7803,111,9563,183,8330,113,9301,62,7844,30,9474,33,7746,227,12431,207,7539,88,7344,217,7130
BR_TKN_BUBBLE_2,r0098:u,0.312266028711,26,2190,30,2158,6,2234,-1,2405,3,2394,18,2396,-116,2425,66,2420,61,2515,101,2432,56,2360,85,2323,-2,2420,30,2488,52,2351,36,2471
RS_UOPS_DISPATCHED,r00a0:u,0.269481276713,18278530,18998848,18280806,18992975,18280952,19047446,18295729,19140513,18298598,19136198,18304426,19217345,18303557,19173010,18304832,19216655,18304793,19189777,18305115,19178272,18294511,19111170,18305645,19174630,18305049,19132996,18305309,19209759,18304747,19166974,18304437,19217369
RS_UOPS_DISPATCHED.PORT0,r01a1:u,0.0640521877146,2648002,2775080,2651062,2766222,2651022,2778318,2652290,2801852,2656350,2822316,2658100,3087733,2850522,2943772,2658027,2819130,2657158,2864535,2657812,2844086,2659576,2804364,2657580,2834577,2672735,2861464,2655311,3085391,2853008,2944509,2657149,2823042
RS_UOPS_DISPATCHED.PORT1,r02a1:u,0.876562296294,3710175,3860292,3511438,3662680,2854078,3135327,3198221,3319962,2964217,2830288,2698485,2792953,2759023,2821603,2681348,2862636,2629713,2688511,2658249,2606909,2640894,2673372,2696052,2806089,2714961,2934740,2689922,2819114,2750658,2821937,2682701,2867717
