Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,0.356044049616,167,61318,121961,180709,186544,173435,164091,146449,122792,70971,43707,14799,10596,7087,5761,4378
CPU_CLK_UNHALTED.THREAD_P,cycles:u,1.0,2814971,3519107,3345036,3457923,3122628,3139278,3417768,3277107,3198159,3405817,3504255,3207895,3112125,3076431,3283514,2987678
