Performance counter,Mnemonic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
LD_BLOCKS.STORE_FORWARD,r0203:u,13,14,14,14,12,14,14,13,16,13,14,13,17,14,14,14
LD_BLOCKS.NO_SR,r0803:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISALIGN_MEM_REF.LOADS,r0105:u,27,26,27,26,26,25,27,27,25,26,26,26,26,27,27,28
MISALIGN_MEM_REF.STORES,r0205:u,103,102,104,103,102,102,95,95,93,94,95,94,93,94,94,97
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,633,62082,123129,183264,195101,188121,189692,177003,149653,96531,65045,26066,21103,10483,8986,9480
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,8161,7349,7080,7072,6902,7048,7137,7275,6747,7078,7095,7070,6551,7031,6934,7689
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,7351,6508,6234,6286,6078,6252,6323,6433,5963,6253,6287,6174,5810,6215,6135,6784
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,25,25,23,26,23,26,25,25,26,26,26,25,23,25,24,22
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,7412,6251,6347,6310,5948,6274,6325,6206,6265,5964,6519,6302,6077,6070,6288,6867
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,179939,162010,163071,161305,156797,161995,161684,158093,167775,158558,168093,167150,159866,156933,164371,171139
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,24247,23496,20917,23174,23764,26743,22024,26469,27264,26138,19874,25724,21061,24196,25308,16483
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,42,41,41,44,41,44,44,39,42,38,37,45,41,44,39,40
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,22490,26005,19700,21777,24858,27075,21281,23014,25392,24266,24696,28641,22091,30932,23221,14273
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,1704,1801,1753,1818,1724,1754,1768,1787,1802,1756,1699,1747,1869,1648,1758,1882
INT_MISC.RECOVERY_CYCLES,r030d:u,1445039,1485522,1345196,1311223,1454559,1387900,1306156,1472438,1576782,1542352,1597280,1471894,1356557,1521498,1405474,805522
UOPS_ISSUED.ANY,r010e:u,9011780,9235212,8611630,8466747,9065880,8794263,8446764,9169039,9626345,9483888,9702550,9167547,8645776,9350075,8864332,6318078
UOPS_ISSUED.FLAGS_MERGE,r100e:u,1820,1827,1838,1816,1823,1824,1824,1820,1828,1830,1818,1838,1825,1797,1817,1833
UOPS_ISSUED.SLOW_LEA,r200e:u,53359,63931,60620,62039,57738,60745,61300,63711,56076,58298,66915,56418,70115,72460,65229,31029
UOPS_ISSUED.SiNGLE_MUL,r400e:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
