Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,0.96148782457,13778,806976,1041064,1032767,997392,942234,520899,127276,49086,32503,22494,14748,13012,12733,12647,12740
CPU_CLK_UNHALTED.THREAD_P,cycles:u,1.0,2652901,3040867,3035701,2981072,2930684,2900281,2830240,2628495,2602382,2615137,2603409,2574898,2531291,2521349,2537956,2539412
