Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,0.850895256478,2818,77129,146319,208746,199534,132439,78127,29548,3464,2213,2792,2849,2306,3629,3422,3560
CPU_CLK_UNHALTED.THREAD_P,cycles:u,1.0,1855911,1944115,1956809,1960290,2005483,1979566,1945028,1935206,1817205,1808319,1790299,1801198,1748128,1763994,1747074,1759806
